"ChoiceNm","ID","Set","cset","altij","Amount","MobilePd","Merged","Location","Vehicle","DayOfWek","Weekend","StrtTmHr","StayDrtn","AmountA","TmTClrwy","TmTPrdEn","FndMtrEx","FndMtrNP","FndClrwV","MtrExprd","MetrNtPd","ClrwyVlt","FrePrkng","APP","PrkngFrq","PrsnlAPD","PrfMblPy","CBDPrknR","time","Volume","Load","ZoneAPD","CpctyAdj","TrnvrAdj","IndxAdjs","choice","ChcNmOvr","ChocNmPd","ChcNmUnd","ChcNmUnp","LctnElzS","LctnAlcS","LctnTrbS","VehiclCr","VehiclUt","VehiclVn","VehclHvy","VhclOthr","DyOfWkMn","DyOfWkTs","DyOfWkWd","DyOfWkTh","DyOfWkFr","DyOfWkSt","DyOfWkSn","tmErlyMr","timMrnng","timeNoon","tmAftrnn","timEvnng","timeNght","tmMdnght","AmountDiff","OthrNtPd","NtPd","Paid"
2,971,971,4,3,4.5,0,1,1,1,7,1,15,119.05,4.56358333333333,1440,183.033333333333,0,0,0,3,3,0,0,0,0,0,0,0,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.0635833333333302,3,0,TRUE
2,972,972,4,3,2.75,1,1,1,1,7,1,14,95.5333333333333,3.66211111111111,1440,298.283333333333,0,0,0,3,3,0,0,0,0,0,0,0,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.91211111111111,3,0,TRUE
3,973,973,4,2,3,0,1,1,1,7,1,9,86.9666666666667,3.33372222222222,1440,565,0,0,0,2,1,0,0,2.5,1,84,0,0,2,8.66666666666667,3.33333333333333,0.423611111111111,7,1.23809523809524,47.6190476190476,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.33372222222222,1,0,FALSE
1,974,974,4,4,4,0,1,1,1,7,1,8,87.5,3.35416666666667,1440,608.416666666667,0,0,0,0,0,0,0,0,0,0,0,0,2,8.66666666666667,3.33333333333333,0.423611111111111,7,1.23809523809524,47.6190476190476,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.64583333333333,0,0,FALSE
3,975,975,4,2,5,0,1,1,1,7,1,15,200.966666666667,7.70372222222222,1440,238.866666666667,0,0,0,3,1,0,0,5.3,3,65.3333333333333,0,0.333333333333333,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-2.70372222222222,1,0,FALSE
3,976,976,4,2,4.4,0,1,1,1,7,1,13,137.35,5.26508333333333,1440,351.4,0,0,0,3,3,0,0,0,0,0,0,0,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.865083333333329,3,0,FALSE
1,977,977,4,4,2.2,0,0,1,1,7,1,8,45.4333333333333,1.74161111111111,1440,651.816666666667,0,0,0,1,3,0,0,0,0,0,0,0,2,8.66666666666667,3.33333333333333,0.423611111111111,7,1.23809523809524,47.6190476190476,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.45838888888889,3,0,FALSE
1,978,978,4,4,2,0,0,1,1,7,1,8,44.5333333333333,1.70711111111111,1440,650.016666666667,0,0,0,1,3,0,0,0,0,0,0,0,2,8.66666666666667,3.33333333333333,0.423611111111111,7,1.23809523809524,47.6190476190476,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.29288888888889,3,0,FALSE
2,979,979,4,3,0.9,0,0,1,1,7,1,8,17.4833333333333,0.670194444444444,1440,601.383333333333,0,0,0,0,0,0,0,0,0,0,0,0,2,8.66666666666667,3.33333333333333,0.423611111111111,7,1.23809523809524,47.6190476190476,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.229805555555556,0,0,TRUE
1,980,980,4,4,2,0,0,1,1,7,1,10,34.0833333333333,1.30652777777778,1440,507.25,0,0,0,2,1,0,0,0,0,0,0,0,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.69347222222222,1,0,FALSE
2,981,981,4,3,2,0,0,1,1,7,1,11,46,1.76333333333333,1440,475.85,0,0,0,2,1,0,0,0,0,0,0,0,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.23666666666667,1,0,TRUE
2,982,982,4,3,1.8,0,0,1,1,7,1,11,45.3666666666667,1.73905555555556,1440,473.9,0,0,0,2,1,0,0,3,1,61,0,0,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.06094444444444,1,0,TRUE
3,983,983,4,2,2.5,0,0,1,1,7,1,11,82.65,3.16825,1440,471.4,0,0,0,1,1,0,0,0,0,0,0,0,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.66825,1,0,FALSE
1,984,984,4,4,2.5,0,0,1,1,7,1,11,44.7,1.7135,1440,464.4,0,0,0,1,1,0,0,0,0,0,0,0,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.7865,1,0,FALSE
3,985,985,4,2,2.5,0,0,1,1,7,1,11,72.65,2.78491666666667,1440,428.15,0,0,0,5,3,0,0,0,0,0,0,0,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.28491666666667,3,0,FALSE
2,986,986,4,3,0.7,0,0,1,1,7,1,11,20.7333333333333,0.794777777777778,1440,439.266666666667,0,0,0,1,1,0,0,2.1,2,61,0,0.5,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.0947777777777781,1,0,TRUE
3,987,987,4,2,2,0,0,1,1,7,1,11,69.1666666666667,2.65138888888889,1440,425.466666666667,0,0,0,5,3,0,0,0,0,0,0,0,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.65138888888889,3,0,FALSE
3,988,988,4,2,2.5,0,0,1,1,7,1,12,99.6,3.818,1440,417.133333333333,0,0,0,5,3,0,0,5,1,100,0,0,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1.318,3,0,FALSE
2,989,989,4,3,2.5,0,0,1,1,7,1,13,61.9666666666667,2.37538888888889,1440,353.95,0,0,0,1,2,0,0,4.42,4,60.2,0,1,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.12461111111111,2,0,TRUE
2,990,990,4,3,2.5,0,0,1,1,7,1,12,61.7,2.36516666666667,1440,360.433333333333,0,0,0,1,2,0,0,5.22777777777778,9,81.3333333333333,0,1,3,10.6666666666667,3.33333333333333,0.322222222222222,7,1.52380952380952,47.6190476190476,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.13483333333333,2,0,TRUE
1,991,991,4,4,2.2,0,0,1,1,7,1,13,36.9166666666667,1.41513888888889,1440,353.8,0,0,0,5,3,0,0,0,0,0,0,0,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.78486111111111,3,0,FALSE
2,992,992,4,3,1,0,0,1,1,7,1,13,27.9,1.0695,1440,337.9,0,0,0,5,3,0,0,3.05714285714286,5,54.1428571428571,0,0.714285714285714,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.0694999999999999,3,0,TRUE
3,993,993,4,2,2.5,0,0,1,1,7,1,13,72.0666666666667,2.76255555555556,1440,315.466666666667,0,0,0,1,2,0,0,0,0,0,0,0,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.26255555555556,2,0,FALSE
2,994,994,4,3,1.5,0,0,1,1,7,1,13,31.95,1.22475,1440,308.966666666667,0,0,0,1,2,0,0,12,1,147,0,1,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.27525,2,0,TRUE
3,995,995,4,2,2.5,0,0,1,1,7,1,14,73.5833333333333,2.82069444444444,1440,284.366666666667,0,0,0,3,3,0,0,0,0,0,0,0,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.32069444444444,3,0,FALSE
2,996,996,4,3,1.2,0,0,1,1,7,1,14,36,1.38,1440,240.95,0,0,0,3,3,0,0,1.6,2,40,0,0.5,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.18,3,0,TRUE
1,997,997,4,4,2,0,0,1,1,7,1,14,31.1833333333333,1.19536111111111,1440,242.416666666667,0,0,0,3,3,0,0,4.63333333333333,3,57.3333333333333,0,0.666666666666667,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.80463888888889,3,0,FALSE
1,998,998,4,4,4,0,0,1,1,7,1,15,37.2666666666667,1.42855555555556,1440,235.733333333333,0,0,0,3,3,0,0,0,0,0,0,0,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.57144444444444,3,0,FALSE
1,999,999,4,4,2.5,0,0,1,1,7,1,15,22.8333333333333,0.875277777777778,1440,191.05,0,0,0,0,2,0,0,0,0,0,0,0,4,15,4,0.273896863370548,7,2.14285714285714,57.1428571428571,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.62472222222222,2,0,FALSE
